FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
01/01/2020,1,-99,-99,102,62,-99,-99,116,138,70,-99,-99,56,7,81,90,-99,-99,55,-99,-99,37,184,64,-99,92,276,-99
01/01/2020,2,-99,-99,113,61,-99,-99,200,137,107,-99,-99,68,8,112,100,-99,-99,70,-99,-99,46,210,66,-99,116,201,-99
01/01/2020,3,-99,-99,123,63,-99,-99,136,192,114,-99,-99,83,9,124,95,-99,-99,82,-99,-99,37,164,74,-99,115,402,-99
01/01/2020,4,-99,-99,101,66,-99,-99,143,201,124,-99,-99,105,5,148,124,-99,-99,86,-99,-99,38,120,78,-99,70,313,-99
01/01/2020,5,-99,-99,76,103,-99,-99,88,160,91,-99,-99,104,9,106,133,-99,-99,84,-99,-99,37,97,65,-99,70,311,-99
01/01/2020,6,-99,-99,76,84,-99,-99,38,133,80,-99,-99,105,11,70,138,-99,-99,73,-99,-99,27,53,58,-99,68,426,-99
01/01/2020,7,-99,-99,85,84,-99,-99,21,92,61,-99,-99,91,7,69,132,-99,-99,42,-99,-99,21,42,57,-99,51,397,-99
01/01/2020,8,-99,-99,75,77,-99,-99,23,114,75,-99,-99,88,-99,102,118,-99,-99,30,-99,-99,26,41,57,-99,53,323,-99
01/01/2020,9,-99,-99,55,86,-99,-99,19,245,58,-99,-99,89,-99,86,77,-99,-99,37,-99,-99,23,68,74,-99,44,304,-99
01/01/2020,10,-99,-99,45,56,-99,-99,5,221,42,-99,-99,49,2,56,43,-99,-99,53,-99,-99,34,16,53,-99,20,274,-99
01/01/2020,11,-99,-99,-99,27,-99,-99,22,148,6,-99,-99,18,5,20,29,-99,-99,48,-99,-99,29,1,31,-99,-99,17,-99
01/01/2020,12,-99,-99,14,38,-99,-99,18,2,7,-99,-99,44,12,24,56,-99,-99,33,-99,-99,25,19,21,-99,-99,6,-99
01/01/2020,13,-99,-99,37,58,-99,-99,19,17,23,-99,-99,50,12,60,98,-99,-99,25,-99,-99,19,42,33,-99,-99,121,-99
01/01/2020,14,-99,-99,27,56,-99,-99,33,36,46,-99,-99,58,12,71,99,-99,-99,24,-99,-99,-99,74,64,-99,-99,221,-99
01/01/2020,15,-99,-99,27,63,-99,-99,34,36,44,-99,-99,-99,18,56,104,-99,-99,35,-99,-99,-99,57,60,-99,-99,182,-99
01/01/2020,16,-99,-99,46,36,-99,-99,51,64,33,-99,-99,-99,11,50,72,-99,-99,21,-99,-99,38,27,-99,-99,-99,110,-99
01/01/2020,17,-99,-99,67,22,-99,-99,47,80,26,-99,-99,-99,14,37,36,-99,-99,17,-99,-99,36,61,66,-99,-99,63,-99
01/01/2020,18,-99,-99,44,19,-99,-99,37,69,24,-99,-99,-99,11,29,47,-99,-99,16,-99,-99,24,36,44,-99,-99,48,-99
01/01/2020,19,-99,-99,22,22,-99,-99,24,46,17,-99,-99,-99,14,28,38,-99,-99,13,-99,-99,16,35,39,-99,-99,29,-99
01/01/2020,20,-99,-99,21,16,-99,-99,20,38,17,-99,-99,-99,11,20,41,-99,-99,-99,-99,-99,9,21,26,-99,-99,15,-99
01/01/2020,21,-99,-99,19,15,-99,-99,15,13,19,-99,-99,21,13,17,29,-99,-99,-99,-99,-99,7,22,18,-99,-99,10,-99
01/01/2020,22,-99,-99,30,13,-99,-99,11,21,7,-99,-99,12,9,15,44,-99,-99,-99,-99,-99,11,25,18,-99,-99,17,-99
01/01/2020,23,-99,-99,15,12,-99,-99,7,14,7,-99,-99,14,6,12,34,-99,-99,-99,-99,-99,6,24,19,-99,-99,14,-99
01/01/2020,24,-99,-99,12,10,-99,-99,6,14,6,-99,-99,9,7,9,25,-99,-99,-99,-99,-99,9,20,19,-99,-99,-99,-99
