FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
01/01/2020,1,-99,-99,45,-99,35,-99,45,-99,37,4,55,-99,-99,-99,47,43,85,-99,26,-99,41,41,65,-99
01/01/2020,2,-99,-99,47,-99,42,-99,97,-99,50,5,65,-99,-99,-99,99,58,61,-99,34,-99,47,73,90,-99
01/01/2020,3,-99,-99,48,-99,46,-99,117,-99,63,6,68,-99,-99,-99,93,69,50,-99,28,-99,52,102,94,-99
01/01/2020,4,-99,-99,54,-99,56,-99,79,-99,86,2,86,-99,-99,-99,75,72,16,-99,28,-99,54,85,58,-99
01/01/2020,5,-99,-99,87,-99,63,-99,48,-99,86,7,94,-99,-99,-99,52,72,12,-99,28,-99,44,83,59,-99
01/01/2020,6,-99,-99,71,-99,57,-99,65,-99,89,8,102,-99,-99,-99,61,64,14,-99,20,-99,38,65,58,-99
01/01/2020,7,-99,-99,72,-99,51,-99,71,-99,78,5,94,-99,-99,-99,63,37,22,-99,16,-99,39,19,40,-99
01/01/2020,8,-99,-99,68,-99,34,-99,31,-99,74,-99,81,-99,-99,-99,21,25,20,-99,20,-99,41,17,44,-99
01/01/2020,9,-99,-99,68,-99,29,-99,16,-99,71,-99,49,-99,-99,-99,11,27,16,-99,17,-99,52,33,33,-99
01/01/2020,10,-99,-99,45,-99,34,-99,5,-99,37,1,27,-99,-99,-99,7,43,9,-99,25,-99,35,27,11,-99
01/01/2020,11,-99,-99,16,-99,32,-99,2,-99,2,2,12,-99,-99,-99,3,36,11,-99,22,-99,14,-99,-99,-99
01/01/2020,12,-99,-99,7,-99,8,-99,2,-99,7,6,19,-99,-99,-99,3,16,21,-99,14,-99,3,-99,-99,-99
01/01/2020,13,-99,-99,8,-99,3,-99,10,-99,1,4,22,-99,-99,-99,14,10,23,-99,13,-99,4,3,-99,-99
01/01/2020,14,-99,-99,8,-99,7,-99,26,-99,7,2,17,-99,-99,-99,16,6,25,-99,-99,-99,8,6,-99,-99
01/01/2020,15,-99,-99,8,-99,-99,-99,18,-99,-99,7,5,-99,-99,-99,13,12,18,-99,-99,-99,1,10,-99,-99
01/01/2020,16,-99,-99,6,-99,6,-99,17,-99,-99,4,5,-99,-99,-99,17,5,11,-99,2,-99,-99,10,-99,-99
01/01/2020,17,-99,-99,6,-99,7,-99,20,-99,-99,6,5,-99,-99,-99,16,5,12,-99,10,-99,8,9,-99,-99
01/01/2020,18,-99,-99,6,-99,4,-99,17,-99,-99,5,20,-99,-99,-99,11,5,12,-99,8,-99,12,12,-99,-99
01/01/2020,19,-99,-99,9,-99,12,-99,13,-99,-99,7,16,-99,-99,-99,14,5,11,-99,5,-99,7,13,-99,-99
01/01/2020,20,-99,-99,8,-99,13,-99,15,-99,-99,7,19,-99,-99,-99,15,-99,20,-99,3,-99,8,7,-99,-99
01/01/2020,21,-99,-99,9,-99,5,-99,13,-99,15,9,16,-99,-99,-99,15,-99,13,-99,3,-99,5,7,-99,-99
01/01/2020,22,-99,-99,8,-99,7,-99,13,-99,6,7,25,-99,-99,-99,9,-99,9,-99,7,-99,10,10,-99,-99
01/01/2020,23,-99,-99,6,-99,5,-99,11,-99,7,4,18,-99,-99,-99,10,-99,8,-99,3,-99,12,4,-99,-99
01/01/2020,24,-99,-99,5,-99,8,-99,9,-99,2,5,11,-99,-99,-99,13,-99,9,-99,7,-99,9,3,-99,-99
02/01/2020,1,-99,-99,6,-99,3,-99,14,-99,8,6,4,-99,-99,-99,12,-99,7,-99,4,-99,8,1,-99,12
02/01/2020,2,-99,-99,5,-99,-99,-99,8,-99,2,5,8,-99,-99,-99,7,-99,7,-99,1,-99,16,4,-99,10
02/01/2020,3,-99,-99,3,-99,2,-99,10,-99,1,3,1,-99,-99,-99,10,-99,6,-99,5,-99,5,3,-99,8
02/01/2020,4,-99,-99,6,-99,4,-99,7,-99,4,4,3,-99,-99,-99,9,-99,4,-99,6,-99,4,-99,-99,5
02/01/2020,5,-99,-99,2,-99,5,-99,5,-99,6,-99,4,-99,-99,-99,6,-99,4,-99,6,-99,1,2,-99,4
02/01/2020,6,-99,-99,4,-99,2,-99,6,-99,4,2,7,-99,-99,-99,9,-99,5,-99,1,-99,7,3,-99,2
02/01/2020,7,-99,-99,4,-99,3,-99,8,-99,7,6,9,-99,-99,-99,9,-99,4,-99,3,-99,9,5,-99,17
02/01/2020,8,-99,-99,4,-99,5,-99,6,-99,2,7,-99,-99,-99,-99,9,-99,4,-99,5,-99,4,5,-99,7
02/01/2020,9,-99,-99,4,-99,4,-99,2,-99,12,5,8,-99,-99,-99,9,-99,10,-99,10,-99,12,4,-99,3
02/01/2020,10,-99,-99,7,-99,4,-99,7,-99,5,5,6,-99,-99,-99,12,-99,9,-99,4,-99,8,5,-99,11
02/01/2020,11,-99,-99,7,-99,6,-99,4,-99,-99,3,10,-99,-99,-99,-99,-99,9,-99,5,-99,5,3,-99,7
02/01/2020,12,-99,-99,6,-99,-99,-99,7,-99,-99,3,6,-99,-99,-99,11,-99,12,-99,4,-99,2,3,-99,7
02/01/2020,13,-99,-99,4,-99,-99,-99,5,-99,-99,6,-99,-99,-99,-99,15,-99,11,-99,-99,-99,8,5,-99,6
02/01/2020,14,-99,-99,10,-99,6,-99,5,-99,-99,4,-99,-99,-99,-99,9,-99,19,-99,13,-99,2,5,-99,4
02/01/2020,15,-99,-99,9,-99,5,-99,4,-99,-99,2,7,-99,-99,-99,12,-99,10,-99,1,-99,8,6,-99,11
02/01/2020,16,-99,-99,1,-99,7,-99,7,-99,-99,3,20,-99,-99,-99,8,-99,14,-99,2,-99,9,2,-99,9
02/01/2020,17,-99,-99,1,-99,2,-99,6,-99,-99,-99,5,-99,-99,-99,10,-99,7,-99,4,-99,-99,5,-99,6
02/01/2020,18,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,7,-99,8,-99,2,-99,8,-99,-99,10
02/01/2020,19,-99,-99,4,-99,3,-99,11,-99,-99,-99,2,-99,-99,-99,8,-99,6,-99,3,-99,6,4,-99,11
02/01/2020,20,-99,-99,7,-99,1,-99,15,-99,-99,-99,5,-99,-99,-99,6,-99,6,-99,1,-99,5,5,-99,11
02/01/2020,21,-99,-99,7,-99,3,-99,12,-99,-99,-99,7,-99,-99,-99,6,-99,5,-99,3,-99,2,4,-99,6
