"","Year","Month","Day","station","Date","PromDiario","ZONA"
"1","2019","01","01","ACO",2019-01-01,106,"NE"
"2","2020","12","18","ACO",2020-12-18,57,"NE"
"3","2020","11","04","ACO",2020-11-04,55,"NE"
"4","2019","04","13","ACO",2019-04-13,66,"NE"
"5","2019","05","04","ACO",2019-05-04,59,"NE"
"6","2020","08","04","ACO",2020-08-04,20,"NE"
"7","2020","08","24","ACO",2020-08-24,20,"NE"
"8","2020","11","23","ACO",2020-11-23,39,"NE"
"9","2020","09","30","ACO",2020-09-30,31,"NE"
"10","2020","04","16","ACO",2020-04-16,49,"NE"
"11","2019","03","11","ACO",2019-03-11,77,"NE"
"12","2019","03","04","ACO",2019-03-04,90,"NE"
"13","2019","03","25","ACO",2019-03-25,44,"NE"
"14","2020","10","27","ACO",2020-10-27,72,"NE"
"15","2019","01","22","ACO",2019-01-22,71,"NE"
"16","2020","12","19","ACO",2020-12-19,64,"NE"
"17","2019","04","07","ACO",2019-04-07,58,"NE"
"18","2020","08","05","ACO",2020-08-05,21,"NE"
"19","2020","10","30","ACO",2020-10-30,39,"NE"
"20","2019","01","02","ACO",2019-01-02,63,"NE"
"21","2019","05","05","ACO",2019-05-05,56,"NE"
"22","2020","10","01","ACO",2020-10-01,32,"NE"
"23","2019","04","14","ACO",2019-04-14,80,"NE"
"24","2019","06","23","ACO",2019-06-23,31,"NE"
"25","2019","05","14","ACO",2019-05-14,123,"NE"
"26","2019","02","12","ACO",2019-02-12,67,"NE"
"27","2020","04","17","ACO",2020-04-17,48,"NE"
"28","2019","03","05","ACO",2019-03-05,49,"NE"
"29","2020","10","28","ACO",2020-10-28,70,"NE"
"30","2020","12","20","ACO",2020-12-20,57,"NE"
"31","2019","04","21","ACO",2019-04-21,56,"NE"
"32","2019","01","23","ACO",2019-01-23,67,"NE"
"33","2020","11","25","ACO",2020-11-25,55,"NE"
"34","2019","01","09","ACO",2019-01-09,51,"NE"
"35","2019","05","06","ACO",2019-05-06,69,"NE"
"36","2020","10","02","ACO",2020-10-02,27,"NE"
"37","2020","12","12","ACO",2020-12-12,51,"NE"
"38","2019","01","03","ACO",2019-01-03,71,"NE"
"39","2020","03","27","ACO",2020-03-27,77,"NE"
"40","2020","08","07","ACO",2020-08-07,15,"NE"
"41","2019","06","24","ACO",2019-06-24,10,"NE"
"42","2019","04","15","ACO",2019-04-15,87,"NE"
"43","2019","05","31","ACO",2019-05-31,38,"NE"
"44","2019","03","06","ACO",2019-03-06,42,"NE"
"45","2020","12","21","ACO",2020-12-21,71,"NE"
"46","2019","02","20","ACO",2019-02-20,62,"NE"
"47","2020","11","26","ACO",2020-11-26,44,"NE"
"48","2020","03","13","ACO",2020-03-13,56,"NE"
"49","2019","05","07","ACO",2019-05-07,84,"NE"
"50","2020","10","03","ACO",2020-10-03,24,"NE"
"51","2019","01","24","ACO",2019-01-24,79,"NE"
"52","2020","09","06","ACO",2020-09-06,8,"NE"
"53","2020","08","08","ACO",2020-08-08,8,"NE"
"54","2020","10","12","ACO",2020-10-12,33,"NE"
"55","2020","09","15","ACO",2020-09-15,20,"NE"
"56","2020","07","29","ACO",2020-07-29,13,"NE"
"57","2019","06","01","ACO",2019-06-01,25,"NE"
"58","2019","01","04","ACO",2019-01-04,75,"NE"
"59","2019","02","16","ACO",2019-02-16,70,"NE"
"60","2019","06","11","ACO",2019-06-11,20,"NE"
"61","2019","03","07","ACO",2019-03-07,50,"NE"
"62","2020","11","27","ACO",2020-11-27,54,"NE"
"63","2020","10","04","ACO",2020-10-04,28,"NE"
"64","2019","05","08","ACO",2019-05-08,92,"NE"
"65","2020","09","07","ACO",2020-09-07,16,"NE"
"66","2020","03","14","ACO",2020-03-14,70,"NE"
"67","2020","12","31","ACO",2020-12-31,109,"NE"
"68","2019","06","02","ACO",2019-06-02,14,"NE"
"69","2019","03","28","ACO",2019-03-28,38,"NE"
