"","Year","Month","CE","NE","NO","SE","SO"
"1","2019","01",28.5,29.2,28.2,26.4,19
"2","2019","02",23.2,26,23,23.5,17.3
"3","2019","03",24.7,27.5,24.7,24,18.6
"4","2019","04",30.2,33.6,32.4,33.7,26.7
"5","2019","05",37.4,40.7,36.1,38.2,38.1
"6","2019","06",17.4,17.4,20.8,19,13.9
"7","2019","07",19.4,18.7,20.7,17.5,14.9
"8","2019","08",17.2,17.5,19.3,16,14.6
"9","2019","09",16.9,16.9,19.9,16.5,15.1
"10","2019","10",15.1,14.9,18.7,14.7,13.8
"11","2019","11",24.5,21.9,24.9,23.9,17.4
"12","2019","12",28.3,30.1,28.7,28.1,20.8
"13","2020","01",20.2,25.2,20.5,19.3,14.8
"14","2020","02",19.8,22.3,22.9,19.3,14.9
"15","2020","03",23.8,25.4,22.9,23.4,19.6
"16","2020","04",24.2,28.5,22.5,24.9,22.4
"17","2020","05",26.4,27.1,23.7,25.9,21.9
"18","2020","06",16.4,16.9,20.1,14.1,13.5
"19","2020","07",14.6,15.9,17.7,13.9,12.3
"20","2020","08",14.1,13.2,14.7,13.4,11.9
"21","2020","09",16.6,14.6,17.6,14.8,13.5
"22","2020","10",18.3,19.3,17.4,17.3,13.4
"23","2020","11",21.8,21.7,20.6,21.1,15.3
"24","2020","12",23.9,23.2,23.8,23.4,17
